,,,,,
1,"Thursday, 26 March ",Richmond 9.13 (67) ,def. by ,Carlton 23.12 (150) ,"MCG (crowd: 87,043) "
1,"Friday, 27 March ",Hawthorn 16.7 (103) ,def. by ,Geelong 15.21 (111) ,"MCG (crowd: 69,593) "
1,"Saturday, 28 March ",Collingwood 13.8 (86) ,def. by ,Adelaide 13.12 (90) ,"MCG (crowd: 41,591) "
1,"Saturday, 28 March ",Brisbane Lions 14.11 (95) ,def. ,West Coast 13.8 (86) ,"The Gabba (crowd: 26,800) "
1,"Saturday, 28 March ",St Kilda 12.8 (80) ,def. ,Sydney 9.11 (65) ,"Etihad Stadium (crowd: 32,442) "
1,"Sunday, 29 March ",Melbourne 10.7 (67) ,def. by ,North Melbourne 15.11 (101) ,"MCG (crowd: 28,707) "
1,"Sunday, 29 March ",Port Adelaide 15.17 (107) ,def. ,Essendon 9.12 (66) ,"AAMI Stadium (crowd: 28,315) "
1,"Sunday, 29 March ",Fremantle 13.16 (94) ,def. by ,Western Bulldogs 25.7 (157) ,"Subiaco Oval (crowd: 34,634) "
,,,,,
2,"Friday, 3 April ",Adelaide 10.9 (69) ,def. by ,St Kilda 15.11 (101) ,"AAMI Stadium (crowd: 41,189) "
2,"Saturday, 4 April ",Geelong 15.15 (105) ,def. ,Richmond 13.7 (85) ,"Skilled Stadium (crowd: 22,288) "
2,"Saturday, 4 April ",Collingwood 17.15 (117) ,def. ,Melbourne 10.4 (64) ,"MCG (crowd: 43,176) "
2,"Saturday, 4 April ",Carlton 18.11 (119) ,def. ,Brisbane Lions 15.10 (100) ,"Etihad Stadium (crowd: 42,496 ) "
2,"Saturday, 4 April ",Sydney 22.11 (143) ,def. ,Hawthorn 15.15 (105) ,"ANZ Stadium (crowd: 36,116) "
2,"Sunday, 5 April ",Essendon 16.13 (109) ,def. ,Fremantle 10.11 (71) ,"Etihad Stadium (crowd: 27,461) "
2,"Sunday, 5 April ",Western Bulldogs 11.14 (80) ,def. ,North Melbourne 9.11 (65) ,"MCG (crowd: 34,466) "
2,"Sunday, 5 April ",West Coast 19.11 (125) ,def. ,Port Adelaide 10.15 (75) ,"Subiaco Oval (crowd: 37,826) "
,,,,,
3,"Thursday, 9 April ",Geelong 18.14 (122) ,def. ,Collingwood 13.17 (95) ,"MCG (crowd: 58,527) "
3,"Saturday, 11 April ",St Kilda 25.11 (161) ,def. ,West Coast 9.10 (64) ,"Etihad Stadium (crowd: 29,006) "
3,"Saturday, 11 April ",Brisbane Lions 15.10 (100) ,def. ,Sydney 9.13 (67) ,"The Gabba (crowd: 24,984) "
3,"Saturday, 11 April ",Carlton 16.16 (112) ,def. by ,Essendon 17.14 (116) ,"MCG (crowd: 70,411) "
3,"Sunday, 12 April ",Port Adelaide 22.15 (147) ,def. ,Melbourne 14.6 (90) ,"AAMI Stadium (crowd: 21,030) "
3,"Sunday, 12 April ",North Melbourne 10.9 (69) ,def. by ,Hawthorn 19.9 (123) ,"Etihad Stadium (crowd: 34,893) "
3,"Sunday, 12 April ",Fremantle 11.14 (80) ,def. by ,Adelaide 15.14 (104) ,"Subiaco Oval (crowd: 30,035) "
3,"Monday, 13 April ",Western Bulldogs 16.14 (110) ,def. ,Richmond 8.15 (63) ,"Etihad Stadium (crowd: 46,261) "
,,,,,
4,"Friday, 17 April ",Brisbane Lions 10.13 (73) ,def. by ,Collingwood 13.12 (90) ,"The Gabba (crowd: 34,912) "
4,"Saturday, 18 April ",Sydney 12.12 (84) ,def. ,Carlton 9.13 (67) ,"SCG (crowd: 30,834) "
4,"Saturday, 18 April ",Hawthorn 12.13 (85) ,def. by ,Port Adelaide 17.13 (115) ,"MCG (crowd: 33,274) "
4,"Saturday, 18 April ",St Kilda 17.9 (111) ,def. ,Fremantle 4.4 (28) ,"Etihad Stadium (crowd: 26,326) "
4,"Saturday, 18 April ",Adelaide 13.8 (86) ,def. by ,Geelong 21.8 (134) ,"AAMI Stadium (crowd: 40,418) "
4,"Sunday, 19 April ",North Melbourne 10.9 (69) ,def. ,Essendon 7.15 (57) ,"Etihad Stadium (crowd: 33,842) "
4,"Sunday, 19 April ",Richmond 13.14 (92) ,def. by ,Melbourne 14.16 (100) ,"MCG (crowd: 40,763) "
4,"Sunday, 19 April ",West Coast 17.14 (116) ,def. ,Western Bulldogs 12.11 (83) ,"Subiaco Oval (crowd: 37,758) "
,,,,,
5,"Friday, 24 April ",Port Adelaide 5.6 (36) ,def. by ,St Kilda 15.12 (102) ,"AAMI Stadium (crowd: 25,426) "
5,"Saturday, 25 April ",Essendon 13.15 (93) ,def. ,Collingwood 12.16 (88) ,"MCG (crowd: 84,829) "
5,"Saturday, 25 April ",Hawthorn 11.8 (74) ,def. ,West Coast 7.14 (56) ,"Aurora Stadium (crowd: 17,880) "
5,"Saturday, 25 April ",Fremantle 18.13 (121) ,def. ,Sydney 16.4 (100) ,"Subiaco Oval (crowd: 32,884) "
5,"Saturday, 25 April ",North Melbourne 7.16 (58) ,def. by ,Richmond 13.16 (94) ,"Etihad Stadium (crowd: 29,224) "
5,"Sunday, 26 April ",Geelong 18.18 (126) ,def. ,Brisbane Lions 5.3 (33) ,"Skilled Stadium (crowd: 15,580) "
5,"Sunday, 26 April ",Western Bulldogs 13.12 (90) ,def. by ,Carlton 21.7 (133) ,"Etihad Stadium (crowd: 44,268) "
5,"Sunday, 26 April ",Melbourne 4.10 (34) ,def. by ,Adelaide 7.9 (51) ,"MCG (crowd: 14,129) "
,,,,,
6,"Friday, 1 May ",North Melbourne 11.9 (75) ,def. by ,Collingwood 19.13 (127) ,"Etihad Stadium (crowd: 40,087) "
6,"Saturday, 2 May ",Hawthorn 16.10 (106) ,def. ,Carlton 15.12 (102) ,"MCG (crowd: 69,014) "
6,"Saturday, 2 May ",West Coast 9.20 (74) ,def. by ,Fremantle 13.9 (87) ,"Subiaco Oval (crowd: 41,654) "
6,"Saturday, 2 May ",Brisbane Lions 17.9 (111) ,def. ,Essendon 9.14 (68) ,"The Gabba (crowd: 29,252) "
6,"Saturday, 2 May ",Port Adelaide 15.15 (105) ,def. ,Adelaide 12.7 (79) ,"AAMI Stadium (crowd: 41,558) "
6,"Sunday, 3 May ",Sydney 14.10 (94) ,def. ,Richmond 11.9 (75) ,"SCG (crowd: 25,410) "
6,"Sunday, 3 May ",Melbourne 10.8 (68) ,def. by ,Geelong 15.21 (111) ,"MCG (crowd: 36,932) "
6,"Sunday, 3 May ",Western Bulldogs 11.10 (76) ,def. by ,St Kilda 14.20 (104) ,"Etihad Stadium (crowd: 36,302) "
,,,,,
7,"Friday, 8 May ",Essendon 17.14 (116) ,def. ,Hawthorn 10.12 (72) ,"Etihad Stadium (crowd: 50,475) "
7,"Saturday, 9 May ",Geelong 17.14 (116) ,def. ,Sydney 10.5 (65) ,"Skilled Stadium (crowd: 22,050) "
7,"Saturday, 9 May ",Richmond 10.11 (71) ,def. by ,Brisbane Lions 15.7 (97) ,"MCG (crowd: 34,646) "
7,"Saturday, 9 May ",North Melbourne 20.5 (125) ,def. ,Port Adelaide 18.12 (120) ,"Etihad Stadium (crowd: 14,342) "
7,"Saturday, 9 May ",Carlton 11.15 (81) ,def. by ,Fremantle 13.10 (88) ,"Gold Coast Stadium (crowd: 10,294) "
7,"Sunday, 10 May ",Adelaide 12.14 (86) ,def. by ,Western Bulldogs 17.16 (118) ,"AAMI Stadium (crowd: 31,742) "
7,"Sunday, 10 May ",West Coast 12.18 (90) ,def. ,Melbourne 13.4 (82) ,"Subiaco Oval (crowd: 35,209) "
7,"Monday, 11 May ",Collingwood 5.10 (40) ,def. by ,St Kilda 20.8 (128) ,"Etihad Stadium (crowd: 46,880) "
,,,,,
8,"Friday, 15 May ",Fremantle 9.11 (65) ,def. by ,Hawthorn 13.9 (87) ,"Subiaco Oval (crowd: 39,135) "
8,"Saturday, 16 May ",Melbourne 15.7 (97) ,def. by ,Western Bulldogs 15.14 (104) ,"MCG (crowd: 28,279) "
8,"Saturday, 16 May ",Geelong 18.11 (119) ,def. ,North Melbourne 7.7 (49) ,"Skilled Stadium (crowd: 20,273) "
8,"Saturday, 16 May ",Brisbane Lions 18.11 (119) ,def. ,Adelaide 12.11 (83) ,"The Gabba (crowd: 27,767) "
8,"Saturday, 16 May ",Sydney 16.10 (106) ,def. ,West Coast 15.11 (101) ,"ANZ Stadium (crowd: 33,079) "
8,"Sunday, 17 May ",Port Adelaide 14.18 (102) ,def. ,Richmond 15.9 (99) ,"AAMI Stadium (crowd: 22,034) "
8,"Sunday, 17 May ",Collingwood 7.11 (53) ,def. by ,Carlton 16.8 (104) ,"MCG (crowd: 82,834) "
8,"Sunday, 17 May ",St Kilda 13.12 (90) ,def. ,Essendon 10.11 (71) ,"Etihad Stadium (crowd: 45,594) "
,,,,,
9,"Friday, 22 May ",Geelong 17.14 (116) ,def. ,Western Bulldogs 17.12 (114) ,"Etihad Stadium (crowd: 44,620) "
9,"Saturday, 23 May ",North Melbourne 14.14 (98) ,def. ,Fremantle 12.13 (85) ,"Etihad Stadium (crowd: 15,436) "
9,"Saturday, 23 May ",Adelaide 15.14 (104) ,def. ,Carlton 8.12 (60) ,"AAMI Stadium (crowd: 41,107) "
9,"Saturday, 23 May ",West Coast 9.12 (66) ,def. by ,Collingwood 12.16 (88) ,"Subiaco Oval (crowd: 36,658) "
9,"Saturday, 23 May ",Richmond 12.13 (85) ,def. by ,Essendon 19.11 (125) ,"MCG (crowd: 73,625) "
9,"Sunday, 24 May ",Sydney 18.15 (123) ,def. ,Port Adelaide 10.8 (68) ,"SCG (crowd: 23,229) "
9,"Sunday, 24 May ",St Kilda 14.13 (97) ,def. ,Brisbane Lions 13.3 (81) ,"Etihad Stadium (crowd: 30,673) "
9,"Sunday, 24 May ",Hawthorn 17.12 (114) ,def. ,Melbourne 13.14 (92) ,"MCG (crowd: 39,395) "
,,,,,
