1,"Saturday, 24 March (7:20 pm) ",Greater Western Sydney 5.7 (37) ,def. by ,Sydney 14.16 (100) ,"ANZ Stadium (crowd: 38,203) "
1,"Thursday, 29 March (7:45 pm) ",Richmond 12.9 (81) ,def. by ,Carlton 18.17 (125) ,"MCG (crowd: 78,285) "
1,"Friday, 30 March (7:50 pm) ",Hawthorn 20.17 (137) ,def. ,Collingwood 16.19 (115) ,"MCG (crowd: 78,464) "
1,"Saturday, 31 March (1:45 pm) ",Melbourne 11.12 (78) ,def. by ,Brisbane Lions 17.17 (119) ,"MCG (crowd: 33,473) "
1,"Saturday, 31 March (3:45 pm) ",Gold Coast 10.8 (68) ,def. by ,Adelaide 19.23 (137) ,"Metricon Stadium (crowd: 12,790) "
1,"Saturday, 31 March (4:45 pm) ",Fremantle 16.9 (105) ,def. ,Geelong 15.11 (101) ,"Patersons Stadium (crowd: 34,601) "
1,"Saturday, 31 March (7:45 pm) ",North Melbourne 15.12 (102) ,def. by ,Essendon 14.20 (104) ,"Etihad Stadium (crowd: 45,699) "
1,"Sunday, 1 April (1:10 pm) ",Western Bulldogs 12.15 (87) ,def. by ,West Coast 21.10 (136) ,"Etihad Stadium (crowd: 24,977) "
1,"Sunday, 1 April (4:10 pm) ",Port Adelaide 13.11 (89) ,def. ,St Kilda 13.7 (85) ,"AAMI Stadium (crowd: 21,179) "
,,,,,
2,"Thursday, 5 April (7:40 pm) ",Brisbane Lions 9.9 (63) ,def. by ,Carlton 23.16 (154) ,"The Gabba (crowd: 25,920) "
2,"Saturday, 7 April (1:45 pm) ",Essendon 16.15 (111) ,def. ,Port Adelaide 13.8 (86) ,"Etihad Stadium (crowd: 34,118) "
2,"Saturday, 7 April (2:10 pm) ",Sydney 14.10 (94) ,def. ,Fremantle 12.9 (81) ,"SCG (crowd: 22,242) "
2,"Saturday, 7 April (2:40 pm) ",West Coast 25.16 (166) ,def. ,Melbourne 9.4 (58) ,"Patersons Stadium (crowd: 35,674) "
2,"Saturday, 7 April (7:10 pm) ",Adelaide 11.16 (82) ,def. ,Western Bulldogs 9.10 (64) ,"AAMI Stadium (crowd: 34,021) "
2,"Saturday, 7 April (7:40 pm) ",Collingwood 12.13 (85) ,def. ,Richmond 8.16 (64) ,"MCG (crowd: 57,268) "
2,"Sunday, 8 April (1:10 pm) ",North Melbourne 28.15 (183) ,def. ,Greater Western Sydney 8.6 (54) ,"Blundstone Arena (crowd: 11,127) "
2,"Sunday, 8 April (4:40 pm) ",St Kilda 21.13 (139) ,def. ,Gold Coast 7.5 (47) ,"Etihad Stadium (crowd: 21,032) "
2,"Monday, 9 April (3:10 pm) ",Geelong 14.8 (92) ,def. ,Hawthorn 13.12 (90) ,"MCG (crowd: 69,231) "
,,,,,
3,"Friday, 13 April (7:50 pm) ",Carlton 18.14 (122) ,def. ,Collingwood 9.8 (62) ,"MCG (crowd: 84,259) "
3,"Saturday, 14 April (1:45 pm) ",Richmond 20.13 (133) ,def. ,Melbourne 11.8 (74) ,"MCG (crowd: 49,826) "
