1,"Thursday, 24 March (7:40 pm) ",Carlton 14.20 (104) ,def. ,Richmond 13.6 (84) ,"MCG (crowd: 60,654) "
1,"Friday, 25 March (7:40 pm) ",Geelong 6.12 (48) ,def. ,St Kilda 6.11 (47) ,"MCG (crowd: 42,869) "
1,"Saturday, 26 March (2:10 pm) ",Collingwood 24.11 (155) ,def. ,Port Adelaide 12.8 (80) ,"Etihad Stadium (crowd: 35,773) "
1,"Saturday, 26 March (7:10 pm) ",Adelaide 16.9 (105) ,def. ,Hawthorn 12.13 (85) ,"AAMI Stadium (crowd: 42,536) "
1,"Saturday, 26 March (7:10 pm) ",Brisbane Lions 14.8 (92) ,def. by ,Fremantle 13.16 (94) ,"The Gabba (crowd: 23,373) "
1,"Sunday, 27 March (1:10 pm) ",Essendon 16.17 (113) ,def. ,Western Bulldogs 8.10 (58) ,"Etihad Stadium (crowd: 42,617) "
1,"Sunday, 27 March (2:10 pm) ",Melbourne 11.18 (84) ,drew with ,Sydney 11.18 (84) ,"MCG (crowd: 33,951) "
1,"Sunday, 27 March (4:10 pm) ",West Coast 13.14 (92) ,def. ,North Melbourne 13.10 (88) ,"Patersons Stadium (crowd: 35,878) "
,,,,,
2,"Friday, 1 April (7:40 pm) ",St Kilda 13.17 (95) ,drew with ,Richmond 14.11 (95) ,"MCG (crowd: 41,465) "
2,"Saturday, 2 April (2:10 pm) ",North Melbourne 7.14 (56) ,def. by ,Collingwood 21.17 (143) ,"Etihad Stadium (crowd: 40,578) "
2,"Saturday, 2 April (2:40 pm) ",Port Adelaide 15.8 (98) ,def. by ,West Coast 16.20 (116) ,"AAMI Stadium (crowd: 23,214) "
2,"Saturday, 2 April (6:40 pm) ",Gold Coast 7.10 (52) ,def. by ,Carlton 26.15 (171) ,"The Gabba (crowd: 27,914) "
2,"Saturday, 2 April (5:40 pm) ",Fremantle 10.18 (78) ,def. by ,Geelong 13.11 (89) ,"Patersons Stadium (crowd: 37,004) "
2,"Sunday, 3 April (1:10 pm) ",Western Bulldogs 19.9 (123) ,def. ,Brisbane Lions 6.9 (45) ,"Etihad Stadium (crowd: 22,331) "
2,"Sunday, 3 April (2:10 pm) ",Sydney 14.14 (98) ,def. ,Essendon 13.15 (93) ,"ANZ Stadium (crowd: 28,082) "
2,"Sunday, 3 April (4:40 pm) ",Hawthorn 16.26 (122) ,def. ,Melbourne 12.5 (77) ,"MCG (crowd: 49,905) "
,,,,,
3,"Friday, 8 April (7:40 pm) ",Collingwood 15.12 (102) ,def. ,Carlton 11.8 (74) ,"MCG (crowd: 88,181) "
3,"Saturday, 9 April (2:10 pm) ",Western Bulldogs 18.14 (122) ,def. ,Gold Coast 7.9 (51) ,"Etihad Stadium (crowd: 21,373) "
3,"Saturday, 9 April (2:40 pm) ",Adelaide 7.12 (54) ,def. by ,Fremantle 11.13 (79) ,"AAMI Stadium (crowd: 33,414) "
3,"Saturday, 9 April (7:10 pm) ",Richmond 6.16 (52) ,def. by ,Hawthorn 17.13 (115) ,"MCG (crowd: 46,368) "
3,"Saturday, 9 April (5:40 pm) ",West Coast 13.10 (88) ,def. by ,Sydney 15.11 (101) ,"Patersons Stadium (crowd: 37,288) "
3,"Sunday, 10 April (1:10 pm) ",Melbourne 12.10 (82) ,def. ,Brisbane Lions 11.5 (71) ,"MCG (crowd: 24,380) "
3,"Sunday, 10 April (2:10 pm) ",Geelong 17.20 (122) ,def. ,Port Adelaide 6.7 (43) ,"Skilled Stadium (crowd: 22,420) "
3,"Sunday, 10 April (4:40 pm) ",St Kilda 12.12 (84) ,def. by ,Essendon 21.10 (136) ,"Etihad Stadium (crowd: 47,762) "
,,,,,
4,"Friday, 15 April (7:40 pm) ",Richmond 13.12 (90) ,def. by ,Collingwood 24.17 (161) ,"MCG (crowd: 58,050) "
4,"Saturday, 16 April (2:10 pm) ",Hawthorn 10.12 (72) ,def. ,West Coast 9.11 (65) ,"Aurora Stadium (crowd: 15,063[13]) "
4,"Saturday, 16 April (2:10 pm) ",Carlton 11.13 (79) ,drew with ,Essendon 11.13 (79) ,"MCG (crowd: 78,605) "
4,"Saturday, 16 April (7:10 pm) ",Sydney 7.12 (54) ,def. by ,Geelong 11.15 (81) ,"SCG (crowd: 25,300) "
