,,,,,,
1,"Friday, 14 March (7:50 pm)",Collingwood 5.16 (46),def. by,Fremantle 17.14 (116),"Etihad Stadium (crowd: 37,571)",
1,"Saturday, 15 March (4:40 pm)",Greater Western Sydney 15.9 (99),def.,Sydney 9.13 (67),"Spotless Stadium (crowd: 17,102)",
1,"Saturday, 15 March (6:55 pm)",Gold Coast 12.15 (87),def.,Richmond 10.9 (69),"Metricon Stadium (crowd: 19,425)",
1,"Sunday, 16 March (7:40 pm)",Carlton 12.15 (87),def. by,Port Adelaide 18.12 (120),"Etihad Stadium (crowd: 24,460)",
1,"Thursday, 20 March (7:10 pm)",Geelong 18.11 (119),def.,Adelaide 12.9 (81),"Simonds Stadium (crowd: 23,622)",
1,"Friday, 21 March (7:50 pm)",North Melbourne 9.6 (60),def. by,Essendon 15.9 (99),"Etihad Stadium (crowd: 42,332)",
1,"Saturday, 22 March (4:40 pm)",Hawthorn 21.13 (139),def.,Brisbane Lions 13.13 (91),"Aurora Stadium (crowd: 12,430)",
1,"Saturday, 22 March (7:40 pm)",St Kilda 10.8 (68),def.,Melbourne 6.15 (51),"Etihad Stadium (crowd: 31,607)",
1,"Sunday, 23 March (4:40 pm)",West Coast 21.8 (134),def.,Western Bulldogs 11.3 (69),"Patersons Stadium (crowd: 36,752)",
,,,,,,
2,"Thursday, 27 March (7:50 pm)",Richmond 14.14 (98),def.,Carlton 12.14 (86),"MCG (crowd: 62,037)",
2,"Friday, 28 March (7:50 pm)",Essendon 12.14 (86),def. by,Hawthorn 13.12 (90),"Etihad Stadium (crowd: 44,163)",
2,"Saturday, 29 March (1:45 pm)",St Kilda 15.5 (95),def.,Greater Western Sydney 13.10 (88),"Etihad Stadium (crowd: 19,640)",
2,"Saturday, 29 March (4:40 pm)",Port Adelaide 19.13 (127),def.,Adelaide 11.7 (73),"Adelaide Oval (crowd: 50,397)",
